 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2993	MD10_SEM-ECS_2021.03.24_s0:0651-2060:3	4360.209	248.122	19.117	243	215	359	0.628	244	3	2.182	0.458	0.884	299.351	107.946	44.591
2994	MD10_SEM-ECS_2021.03.24_s0:0652-2062:3	6807.334	218.914	19.486	209	182	322	0.752	214	3	1.334	0.750	0.913	249.127	67.860	202.109
2995	MD10_SEM-ECS_2021.03.24_s0:0653-2061:3	3359.727	218.072	22.352	194	166	288	0.748	213	3	1.784	0.561	0.914	222.972	37.281	124.449
2996	MD10_SEM-ECS_2021.03.24_s0:0654-2063:3	5401.251	215.946	12.528	214	172	287	0.608	214	3	2.563	0.390	0.885	222.134	53.571	72.867
2997	MD10_SEM-ECS_2021.03.24_s0:0655-2059:3	1568.323	231.194	17.601	236	199	311	0.841	229	3	1.283	0.780	0.934	268.212	61.176	62.728
2998	MD10_SEM-ECS_2021.03.24_s0:0656-2067:3	3244.806	202.925	23.709	191	178	533	0.830	196	3	1.422	0.703	0.934	248.876	149.022	20.958
2999	MD10_SEM-ECS_2021.03.24_s0:0657-2069:3	2893.286	244.210	15.573	240	216	377	0.780	241	3	1.701	0.588	0.929	243.903	53.923	39.355
3000	MD10_SEM-ECS_2021.03.24_s0:0658-2072:3	11228.382	165.860	6.838	163	149	240	0.827	165	3	1.570	0.637	0.958	183.530	49.883	171.444
3001	MD10_SEM-ECS_2021.03.24_s0:0659-2079:3	4806.370	230.813	37.395	213	187	409	0.688	217	3	2.077	0.481	0.931	268.548	99.656	63.654
3002	MD10_SEM-ECS_2021.03.24_s0:0660-2070:3	4819.890	202.596	10.890	198	174	243	0.653	200	3	1.740	0.575	0.903	208.148	27.193	164.621
3003	MD10_SEM-ECS_2021.03.24_s0:0661-2077:3	5042.970	171.764	10.381	166	155	312	0.780	171	3	1.374	0.728	0.904	191.798	50.837	118.803
3004	MD10_SEM-ECS_2021.03.24_s0:0662-2083:3	5597.291	219.850	45.949	209	179	718	0.629	209	3	1.968	0.508	0.852	269.772	132.428	88.017
3005	MD10_SEM-ECS_2021.03.24_s0:0663-2080:3	3934.328	210.120	18.248	211	175	291	0.824	207	3	1.302	0.768	0.924	251.826	81.791	85.399
3006	MD10_SEM-ECS_2021.03.24_s0:0664-2084:3	4366.969	272.207	16.426	263	238	334	0.723	271	3	1.938	0.516	0.925	302.502	83.236	111.630
3007	MD10_SEM-ECS_2021.03.24_s0:0665-2083:3	5840.652	233.931	21.627	230	184	324	0.546	231	3	3.249	0.308	0.893	243.795	70.828	56.475
3008	MD10_SEM-ECS_2021.03.24_s0:0666-2084:3	9687.099	179.859	8.972	176	160	249	0.716	179	3	1.843	0.543	0.915	222.836	68.541	209.147
3009	MD10_SEM-ECS_2021.03.24_s0:0667-2085:3	7030.414	174.757	10.487	179	153	295	0.697	174	3	1.684	0.594	0.899	197.266	54.813	86.212
3010	MD10_SEM-ECS_2021.03.24_s0:0668-2095:3	11045.862	187.857	11.538	184	162	347	0.643	187	3	1.808	0.553	0.876	218.131	82.342	29.994
3011	MD10_SEM-ECS_2021.03.24_s0:0669-2088:3	7753.736	161.491	7.911	160	146	200	0.639	161	3	1.758	0.569	0.880	178.195	42.071	120.905
3012	MD10_SEM-ECS_2021.03.24_s0:0670-2096:3	5556.731	175.633	17.444	174	129	358	0.685	176	3	1.699	0.589	0.899	216.989	108.282	122.406
3013	MD10_SEM-ECS_2021.03.24_s0:0671-2091:3	2818.926	159.175	6.021	158	147	200	0.714	158	3	1.632	0.613	0.904	184.012	67.386	88.365
3014	MD10_SEM-ECS_2021.03.24_s0:0672-2096:3	4819.890	188.920	7.531	189	171	220	0.840	189	3	1.206	0.829	0.939	248.684	88.434	41.837
3015	MD10_SEM-ECS_2021.03.24_s0:0673-2096:3	4427.809	248.366	28.932	237	204	480	0.831	242	3	1.245	0.803	0.943	293.823	84.967	49.012
